dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,9,2,moderate,1,residual_gcc_after_spectral_all,0.3747465364473878
Chennu,alpha,10,20,baseline,0,residual_gcc_after_spectral_all,0.4091300821593217
Chennu,alpha,11,20,moderate,1,residual_gcc_after_spectral_all,0.9967434954065268
Chennu,alpha,12,22,baseline,0,residual_gcc_after_spectral_all,0.45301452743543447
Chennu,alpha,13,22,moderate,1,residual_gcc_after_spectral_all,0.5312989249657493
Chennu,alpha,14,23,baseline,0,residual_gcc_after_spectral_all,0.4191099870274326
Chennu,alpha,15,23,moderate,1,residual_gcc_after_spectral_all,0.0013061199162279764
Chennu,alpha,16,24,baseline,0,residual_gcc_after_spectral_all,0.47394249502272656
Chennu,alpha,17,24,moderate,1,residual_gcc_after_spectral_all,0.8264278391621365
Chennu,alpha,18,25,baseline,0,residual_gcc_after_spectral_all,0.4507623613557476
Chennu,alpha,19,25,moderate,1,residual_gcc_after_spectral_all,0.9993652756785131
Chennu,alpha,20,26,baseline,0,residual_gcc_after_spectral_all,0.44536875142902066
Chennu,alpha,21,26,moderate,1,residual_gcc_after_spectral_all,0.39610635234623987
Chennu,alpha,22,27,baseline,0,residual_gcc_after_spectral_all,0.4526296469062173
Chennu,alpha,23,27,moderate,1,residual_gcc_after_spectral_all,0.6367387842032218
Chennu,alpha,24,28,baseline,0,residual_gcc_after_spectral_all,0.460186017139051
Chennu,alpha,25,28,moderate,1,residual_gcc_after_spectral_all,0.6860953289306453
Chennu,alpha,26,29,baseline,0,residual_gcc_after_spectral_all,0.4545510452279456
Chennu,alpha,27,29,moderate,1,residual_gcc_after_spectral_all,0.6293669231730368
Chennu,alpha,28,3,baseline,0,residual_gcc_after_spectral_all,0.4532235173925235
Chennu,alpha,29,3,moderate,1,residual_gcc_after_spectral_all,0.8355584790302543
Chennu,alpha,30,5,baseline,0,residual_gcc_after_spectral_all,0.4509376148871276
Chennu,alpha,31,5,moderate,1,residual_gcc_after_spectral_all,0.509688248508186
Chennu,alpha,32,6,baseline,0,residual_gcc_after_spectral_all,0.44766167119748823
Chennu,alpha,33,6,moderate,1,residual_gcc_after_spectral_all,0.8037873630933482
Chennu,alpha,34,7,baseline,0,residual_gcc_after_spectral_all,0.46809845752709656
Chennu,alpha,35,7,moderate,1,residual_gcc_after_spectral_all,0.3403872585211835
Chennu,alpha,36,8,baseline,0,residual_gcc_after_spectral_all,0.4435310640916967
Chennu,alpha,37,8,moderate,1,residual_gcc_after_spectral_all,0.09765622425281197
Chennu,alpha,38,9,baseline,0,residual_gcc_after_spectral_all,0.4484247992927239
Chennu,alpha,39,9,moderate,1,residual_gcc_after_spectral_all,0.6068342796533154
DS005620,alpha,80,1010,awake,0,spectral_bandpower,0.12672483728506667
DS005620,alpha,81,1010,sed,1,spectral_bandpower,0.8763688215243832
DS005620,alpha,82,1010,sed2,1,spectral_bandpower,0.9224138306192876
DS005620,alpha,83,1016,awake,0,spectral_bandpower,0.1256606948064199
DS005620,alpha,84,1016,sed,1,spectral_bandpower,0.8875761447542335
DS005620,alpha,85,1016,sed2,1,spectral_bandpower,0.7455687341272489
DS005620,alpha,86,1017,awake,0,spectral_bandpower,0.12794248820124432
DS005620,alpha,87,1017,sed,1,spectral_bandpower,0.9580383706174398
DS005620,alpha,88,1017,sed2,1,spectral_bandpower,0.9457318363795746
DS005620,alpha,89,1022,awake,0,spectral_bandpower,0.11484201201425204
DS005620,alpha,90,1022,sed,1,spectral_bandpower,0.8436223964768468
DS005620,alpha,91,1022,sed2,1,spectral_bandpower,0.22121190510917343
DS005620,alpha,92,1024,awake,0,spectral_bandpower,0.12723538775839854
DS005620,alpha,93,1024,sed,1,spectral_bandpower,0.9961264337605513
DS005620,alpha,94,1024,sed2,1,spectral_bandpower,0.9929245399820175
DS005620,alpha,95,1033,awake,0,spectral_bandpower,0.12089949083146165
DS005620,alpha,96,1033,sed,1,spectral_bandpower,0.5247558918853706
DS005620,alpha,97,1033,sed2,1,spectral_bandpower,0.6132371519829802
DS005620,alpha,98,1036,awake,0,spectral_bandpower,0.12495322848272819
DS005620,alpha,99,1036,sed,1,spectral_bandpower,0.8227337732710124
DS005620,alpha,100,1036,sed2,1,spectral_bandpower,0.8536282740154176
DS005620,alpha,101,1037,awake,0,spectral_bandpower,0.12336308845944065
DS005620,alpha,102,1045,awake,0,spectral_bandpower,0.12816325085229333
DS005620,alpha,103,1045,sed,1,spectral_bandpower,0.9939129561768208
DS005620,alpha,104,1045,sed2,1,spectral_bandpower,0.9805376036262269
DS005620,alpha,105,1046,awake,0,spectral_bandpower,0.12427157524014686
DS005620,alpha,106,1046,sed,1,spectral_bandpower,0.8330900621779926
DS005620,alpha,107,1046,sed2,1,spectral_bandpower,0.6745303149758564
DS005620,alpha,108,1054,awake,0,spectral_bandpower,0.1283748445075187
DS005620,alpha,109,1054,sed,1,spectral_bandpower,0.9866886860395413
DS005620,alpha,110,1054,sed2,1,spectral_bandpower,0.995699887774164
DS005620,alpha,111,1055,awake,0,spectral_bandpower,0.12819638053090351
DS005620,alpha,112,1055,sed,1,spectral_bandpower,0.9647647121686204
DS005620,alpha,113,1055,sed2,1,spectral_bandpower,0.9447593219234428
DS005620,alpha,114,1057,awake,0,spectral_bandpower,0.12579356878206158
DS005620,alpha,115,1057,sed,1,spectral_bandpower,0.988835136547027
DS005620,alpha,116,1057,sed2,1,spectral_bandpower,0.9945042586677785
DS005620,alpha,117,1060,awake,0,spectral_bandpower,0.10990140737956745
DS005620,alpha,118,1060,sed,1,spectral_bandpower,0.9999991656039088
DS005620,alpha,119,1060,sed2,1,spectral_bandpower,0.9999960948538591
DS005620,alpha,120,1061,awake,0,spectral_bandpower,0.1288759563114979
DS005620,alpha,121,1061,sed,1,spectral_bandpower,0.9794865719581483
DS005620,alpha,122,1061,sed2,1,spectral_bandpower,0.9875530574148689
DS005620,alpha,123,1062,awake,0,spectral_bandpower,0.12879914276776785
DS005620,alpha,124,1062,sed,1,spectral_bandpower,0.9800139890900892
DS005620,alpha,125,1062,sed2,1,spectral_bandpower,0.9853904584902852
DS005620,alpha,126,1064,awake,0,spectral_bandpower,0.126549373407837
DS005620,alpha,127,1064,sed,1,spectral_bandpower,0.9980421832761481
DS005620,alpha,128,1064,sed2,1,spectral_bandpower,0.985333726491886
DS005620,alpha,129,1067,awake,0,spectral_bandpower,0.09212647515489185
DS005620,alpha,130,1067,sed,1,spectral_bandpower,0.09277218622513682
DS005620,alpha,131,1067,sed2,1,spectral_bandpower,0.06230049021125886
DS005620,alpha,132,1068,awake,0,spectral_bandpower,0.12062433663747395
DS005620,alpha,133,1068,sed,1,spectral_bandpower,0.5099201288821017
DS005620,alpha,134,1068,sed2,1,spectral_bandpower,0.6115414370096024
DS005620,alpha,135,1071,awake,0,spectral_bandpower,0.12784655038403445
DS005620,alpha,136,1071,sed,1,spectral_bandpower,0.99535068426951
DS005620,alpha,137,1071,sed2,1,spectral_bandpower,0.9873010439316161
DS005620,alpha,138,1074,awake,0,spectral_bandpower,0.1286430668100327
DS005620,alpha,139,1074,sed,1,spectral_bandpower,0.9585055325305889
DS005620,alpha,140,1074,sed2,1,spectral_bandpower,0.9051011673809611
DS005620,alpha,80,1010,awake,0,spectral_all,0.0982890447341395
DS005620,alpha,81,1010,sed,1,spectral_all,0.9154999236262789
DS005620,alpha,82,1010,sed2,1,spectral_all,0.9377500694560903
DS005620,alpha,83,1016,awake,0,spectral_all,0.09793398843344049
DS005620,alpha,84,1016,sed,1,spectral_all,0.9005535312949355
DS005620,alpha,85,1016,sed2,1,spectral_all,0.8883431011995664
DS005620,alpha,86,1017,awake,0,spectral_all,0.0995868743335336
DS005620,alpha,87,1017,sed,1,spectral_all,0.9508998202322121
DS005620,alpha,88,1017,sed2,1,spectral_all,0.9661141248113908
DS005620,alpha,89,1022,awake,0,spectral_all,0.09761420289948641
DS005620,alpha,90,1022,sed,1,spectral_all,0.9378842857057337
DS005620,alpha,91,1022,sed2,1,spectral_all,0.701621877378584
DS005620,alpha,92,1024,awake,0,spectral_all,0.09887351976697828
DS005620,alpha,93,1024,sed,1,spectral_all,0.9968210165970409
DS005620,alpha,94,1024,sed2,1,spectral_all,0.993127391680369
DS005620,alpha,95,1033,awake,0,spectral_all,0.09355039297018326
DS005620,alpha,96,1033,sed,1,spectral_all,0.5037849282423938
DS005620,alpha,97,1033,sed2,1,spectral_all,0.7330757502814204
DS005620,alpha,98,1036,awake,0,spectral_all,0.09752224511537483
DS005620,alpha,99,1036,sed,1,spectral_all,0.9499732765008113
DS005620,alpha,100,1036,sed2,1,spectral_all,0.8310634338428693
