dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,gamma,24,mild,0.08630769085548254,8.910428655515041,0.0019058822279933213,0.1264367816091954,0.0,91.0,90.0,58.0
Chennu,gamma,24,moderate,0.08412818883212653,10.261164104319743,0.0018159139597232247,0.20689655172413793,0.0,91.0,90.0,58.0
Chennu,gamma,24,recovery,0.07959399852048618,15.486089650940842,0.001703892471152111,0.3563218390804597,0.06896551724137931,91.0,90.0,58.0
Chennu,gamma,25,baseline,0.14212404788643054,15.880360481575531,0.004480656599780163,0.8275862068965517,0.5517241379310345,91.0,90.0,58.0
Chennu,gamma,25,mild,0.13657274148780849,16.930371784742206,0.004637982090701893,0.7586206896551724,0.43103448275862066,91.0,90.0,58.0
Chennu,gamma,25,moderate,0.0966110482073128,17.069703398632317,0.0024469951642685232,0.2413793103448276,0.017241379310344827,91.0,90.0,58.0
Chennu,gamma,25,recovery,0.12972841119249,18.56274940524202,0.0035355191074077905,0.4195402298850575,0.06896551724137931,91.0,90.0,58.0
Chennu,gamma,26,baseline,0.12373686091021918,14.369578184835815,0.003786160455197956,0.8275862068965517,0.6379310344827587,91.0,90.0,58.0
Chennu,gamma,26,mild,0.11012120012664962,15.284509052986802,0.0031138506461320424,0.6149425287356322,0.1896551724137931,91.0,90.0,58.0
Chennu,gamma,26,moderate,0.09956904572362983,15.530377592630334,0.0026940409501727994,0.4310344827586206,0.08620689655172414,91.0,90.0,58.0
Chennu,gamma,26,recovery,0.10496202617424542,14.86015212898043,0.0028572164360695985,0.5632183908045978,0.1896551724137931,91.0,90.0,58.0
Chennu,gamma,27,baseline,0.12017225744445349,16.320509542283226,0.004340668143677099,0.8275862068965516,0.5517241379310345,91.0,90.0,58.0
Chennu,gamma,27,mild,0.15299626547268017,17.297944539683005,0.005296194858424102,0.8505747126436781,0.5689655172413793,91.0,90.0,58.0
Chennu,gamma,27,moderate,0.10595623717760319,14.774827981390033,0.003694304752134309,0.4195402298850574,0.13793103448275862,91.0,90.0,58.0
Chennu,gamma,27,recovery,0.12052605228924264,18.884506398415827,0.003931246586368283,0.6321839080459771,0.3103448275862069,91.0,90.0,58.0
Chennu,gamma,28,baseline,0.11166411510881753,11.923540600628131,0.003055391281169048,0.8275862068965517,0.5517241379310345,91.0,90.0,58.0
Chennu,gamma,28,mild,0.08900670666947416,12.05975056112383,0.002249459319267729,0.367816091954023,0.017241379310344827,91.0,90.0,58.0
Chennu,gamma,28,moderate,0.09071152201190649,11.813340325723132,0.002099388960494114,0.3620689655172413,0.05172413793103448,91.0,90.0,58.0
Chennu,gamma,28,recovery,0.1125244061465523,12.000772201494101,0.003420080215591486,0.7528735632183907,0.41379310344827586,91.0,90.0,58.0
Chennu,gamma,29,baseline,0.09932884271937342,15.217552367534207,0.002608747786955061,0.8275862068965517,0.603448275862069,91.0,90.0,58.0
Chennu,gamma,29,mild,0.0847398149523277,14.053861218028334,0.0020551590532242397,0.5517241379310345,0.22413793103448276,91.0,90.0,58.0
Chennu,gamma,29,moderate,0.08429263730311312,13.198104291195499,0.0020786618318929754,0.5172413793103449,0.13793103448275862,91.0,90.0,58.0
Chennu,gamma,29,recovery,0.08173063343849662,14.839509928095481,0.0018450503093848174,0.5229885057471264,0.15517241379310345,91.0,90.0,58.0
Chennu,gamma,3,baseline,0.13236553529279405,17.05225088046637,0.004144203698141454,0.8275862068965518,0.5344827586206896,91.0,90.0,58.0
Chennu,gamma,3,mild,0.13985676634200564,17.38252143274375,0.004815978512326671,0.8103448275862069,0.4827586206896552,91.0,90.0,58.0
Chennu,gamma,3,moderate,0.08091629201372344,19.24003779391005,0.0031149517150016407,0.25862068965517243,0.0,91.0,90.0,58.0
Chennu,gamma,3,recovery,0.1431325480469893,19.139890930565432,0.005070421863086297,0.6436781609195401,0.29310344827586204,91.0,90.0,58.0
Chennu,gamma,5,baseline,0.11948025140411166,13.785653225699129,0.0033362243906872565,0.8275862068965516,0.5344827586206896,91.0,90.0,58.0
