dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,10,20,baseline,0,residual_pi_after_spectral_all,0.42039978644274323
Chennu,alpha,11,20,moderate,1,residual_pi_after_spectral_all,0.529472982254363
Chennu,alpha,12,22,baseline,0,residual_pi_after_spectral_all,0.41156719873055697
Chennu,alpha,13,22,moderate,1,residual_pi_after_spectral_all,0.35581208585459984
Chennu,alpha,14,23,baseline,0,residual_pi_after_spectral_all,0.4226321916254293
Chennu,alpha,15,23,moderate,1,residual_pi_after_spectral_all,0.7927844411022471
Chennu,alpha,16,24,baseline,0,residual_pi_after_spectral_all,0.44454686393917386
Chennu,alpha,17,24,moderate,1,residual_pi_after_spectral_all,0.8982084153540627
Chennu,alpha,18,25,baseline,0,residual_pi_after_spectral_all,0.4290718989392376
Chennu,alpha,19,25,moderate,1,residual_pi_after_spectral_all,0.00031646162290938757
Chennu,alpha,20,26,baseline,0,residual_pi_after_spectral_all,0.42644882581637844
Chennu,alpha,21,26,moderate,1,residual_pi_after_spectral_all,0.6015709672325986
Chennu,alpha,22,27,baseline,0,residual_pi_after_spectral_all,0.45150420347951525
Chennu,alpha,23,27,moderate,1,residual_pi_after_spectral_all,0.9458175366438887
Chennu,alpha,24,28,baseline,0,residual_pi_after_spectral_all,0.42171370142863346
Chennu,alpha,25,28,moderate,1,residual_pi_after_spectral_all,0.5203467920051862
Chennu,alpha,26,29,baseline,0,residual_pi_after_spectral_all,0.3982023267854788
Chennu,alpha,27,29,moderate,1,residual_pi_after_spectral_all,0.13411448611926854
Chennu,alpha,28,3,baseline,0,residual_pi_after_spectral_all,0.4300789803782813
Chennu,alpha,29,3,moderate,1,residual_pi_after_spectral_all,0.9635991974592889
Chennu,alpha,30,5,baseline,0,residual_pi_after_spectral_all,0.4111107315159063
Chennu,alpha,31,5,moderate,1,residual_pi_after_spectral_all,0.8848791217343707
Chennu,alpha,32,6,baseline,0,residual_pi_after_spectral_all,0.43428205255035596
Chennu,alpha,33,6,moderate,1,residual_pi_after_spectral_all,0.8041127364049012
Chennu,alpha,34,7,baseline,0,residual_pi_after_spectral_all,0.42124278360983886
Chennu,alpha,35,7,moderate,1,residual_pi_after_spectral_all,0.23742020783422296
Chennu,alpha,36,8,baseline,0,residual_pi_after_spectral_all,0.42726472968388945
Chennu,alpha,37,8,moderate,1,residual_pi_after_spectral_all,0.770077475435898
Chennu,alpha,38,9,baseline,0,residual_pi_after_spectral_all,0.41931265813672164
Chennu,alpha,39,9,moderate,1,residual_pi_after_spectral_all,0.5554140106286238
Chennu,alpha,0,10,baseline,0,residual_gcc_after_spectral_all,0.41399250055425846
Chennu,alpha,1,10,moderate,1,residual_gcc_after_spectral_all,0.9608505250473044
Chennu,alpha,2,13,baseline,0,residual_gcc_after_spectral_all,0.3926754584927861
Chennu,alpha,3,13,moderate,1,residual_gcc_after_spectral_all,0.6666676756572075
Chennu,alpha,4,14,baseline,0,residual_gcc_after_spectral_all,0.4083821112099115
