dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,25,22,moderate,1,residual_pi_after_spectral_all,0.5117127275073869
Chennu,alpha,26,23,baseline,0,residual_pi_after_spectral_all,0.49590321465557263
Chennu,alpha,27,23,moderate,1,residual_pi_after_spectral_all,0.4652923767332611
Chennu,alpha,28,24,baseline,0,residual_pi_after_spectral_all,0.4779832455625738
Chennu,alpha,29,24,moderate,1,residual_pi_after_spectral_all,0.13344236722555822
Chennu,alpha,30,25,baseline,0,residual_pi_after_spectral_all,0.4820519419993211
Chennu,alpha,31,25,moderate,1,residual_pi_after_spectral_all,0.9484537827615274
Chennu,alpha,32,26,baseline,0,residual_pi_after_spectral_all,0.49731830578625896
Chennu,alpha,33,26,moderate,1,residual_pi_after_spectral_all,0.5125753731214658
Chennu,alpha,34,27,baseline,0,residual_pi_after_spectral_all,0.49146584934953974
Chennu,alpha,35,27,moderate,1,residual_pi_after_spectral_all,0.39057544915580206
Chennu,alpha,36,28,baseline,0,residual_pi_after_spectral_all,0.4988279505130069
Chennu,alpha,37,28,moderate,1,residual_pi_after_spectral_all,0.5278808327489863
Chennu,alpha,38,29,baseline,0,residual_pi_after_spectral_all,0.4977115757606317
Chennu,alpha,39,29,moderate,1,residual_pi_after_spectral_all,0.534939151226899
Chennu,alpha,0,2,baseline,0,residual_gcc_after_spectral_all,0.3963458760073312
Chennu,alpha,1,2,moderate,1,residual_gcc_after_spectral_all,0.045080881812108585
Chennu,alpha,2,3,baseline,0,residual_gcc_after_spectral_all,0.41284250817968304
Chennu,alpha,3,3,moderate,1,residual_gcc_after_spectral_all,0.6751435089977086
Chennu,alpha,4,5,baseline,0,residual_gcc_after_spectral_all,0.40510708785903043
Chennu,alpha,5,5,moderate,1,residual_gcc_after_spectral_all,0.7044162700139713
Chennu,alpha,6,6,baseline,0,residual_gcc_after_spectral_all,0.4162020437298657
Chennu,alpha,7,6,moderate,1,residual_gcc_after_spectral_all,0.6455018628500349
Chennu,alpha,8,7,baseline,0,residual_gcc_after_spectral_all,0.3590872270325398
Chennu,alpha,9,7,moderate,1,residual_gcc_after_spectral_all,2.2488043072150524e-05
Chennu,alpha,10,8,baseline,0,residual_gcc_after_spectral_all,0.4139071640063651
Chennu,alpha,11,8,moderate,1,residual_gcc_after_spectral_all,0.9548589835711948
Chennu,alpha,12,9,baseline,0,residual_gcc_after_spectral_all,0.42999496715817226
Chennu,alpha,13,9,moderate,1,residual_gcc_after_spectral_all,0.2274175984311214
Chennu,alpha,14,10,baseline,0,residual_gcc_after_spectral_all,0.43209970205559123
