dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,alpha,28,mild,0.4135198411951657,8.937448019495266,0.02378844127606795,0.7241379310344827,0.39655172413793105,20.0,90.0,58.0
Chennu,alpha,28,moderate,0.3904846365406255,8.811209571459514,0.020493955453668146,0.6551724137931034,0.3448275862068966,20.0,90.0,58.0
Chennu,alpha,28,recovery,0.39733207023607925,9.585367564414314,0.025264541799295836,0.718390804597701,0.46551724137931033,20.0,90.0,58.0
Chennu,alpha,29,baseline,0.3476379373976552,10.1541893082713,0.01915099289673913,0.8275862068965517,0.5344827586206896,20.0,90.0,58.0
Chennu,alpha,29,mild,0.3580189721226302,9.577421240756623,0.0213433986683123,0.8678160919540229,0.6379310344827587,20.0,90.0,58.0
Chennu,alpha,29,moderate,0.3522149082356671,10.39222266593072,0.020344089545540046,0.8390804597701149,0.6379310344827587,20.0,90.0,58.0
Chennu,alpha,29,recovery,0.3674215883838679,9.001331578531138,0.019456957104902056,0.7873563218390804,0.4482758620689655,20.0,90.0,58.0
Chennu,alpha,3,baseline,0.35477940380714384,10.672899869553408,0.021683333832419487,0.8275862068965516,0.5862068965517241,20.0,90.0,58.0
Chennu,alpha,3,mild,0.3734898596891462,11.010792981998314,0.02202068769878251,0.8505747126436781,0.603448275862069,20.0,90.0,58.0
Chennu,alpha,3,moderate,0.3589462765753536,12.601716228412146,0.022599913228112577,0.8390804597701148,0.5517241379310345,20.0,90.0,58.0
Chennu,alpha,3,recovery,0.37533205557933225,10.059996284027205,0.020939251031976223,0.8850574712643677,0.7068965517241379,20.0,90.0,58.0
Chennu,alpha,5,baseline,0.34324599280366574,10.355598642900482,0.0210516873412265,0.8275862068965517,0.6206896551724138,20.0,90.0,58.0
Chennu,alpha,5,mild,0.3093102585340761,11.545895343070056,0.020421895904648386,0.7068965517241379,0.3793103448275862,20.0,90.0,58.0
Chennu,alpha,5,moderate,0.31680451092391043,13.256806004052997,0.022472652117266928,0.5747126436781609,0.1206896551724138,20.0,90.0,58.0
Chennu,alpha,5,recovery,0.3250904746625967,10.462432744662461,0.022704101981173796,0.8045977011494254,0.5172413793103449,20.0,90.0,58.0
Chennu,alpha,6,baseline,0.36385471642355893,8.440189879606002,0.019942290303219527,0.8275862068965517,0.6206896551724138,20.0,90.0,58.0
Chennu,alpha,6,mild,0.3456087921816216,10.16304603232726,0.02099945297315301,0.6839080459770114,0.25862068965517243,20.0,90.0,58.0
